method,variant_id,method_instance,function,dimension,noise_sigma,k,r,descent_sharpness,n_runs,n_trace_available,trace_coverage,final_best_mean,final_best_median,first_floor_gen_trace_mean,floor_gens_trace_mean,descent_gens_trace_mean,sigma_volume_total_mean,sigma_volume_descent_mean,sigma_volume_floor_mean,descent_volume_fraction_mean,mean_log_contraction_descent_mean,std_log_contraction_descent_mean
proxy_sigma_controller,geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p02,proxy_sigma_controller:geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p02,rastrigin,20,0.1,0.86,0.02,7.541144486729183,50,5,0.1,60.93447772409825,55.52498122756472,75.8,24.8,74.8,39.432967400314794,38.4409674003148,0.9920000000000002,0.9746605371236612,0.025307163179371046,0.06984232612555401
proxy_sigma_controller,geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p02,proxy_sigma_controller:geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p02,rastrigin,20,0.2,0.86,0.02,7.541144486729183,50,5,0.1,59.5153468342948,55.885684445269575,79.0,20.8,78.0,40.214377891197316,39.382377891197315,0.8320000000000002,0.9794394600727964,0.024378688122190066,0.0655261894459502
proxy_sigma_controller,geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p02,proxy_sigma_controller:geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p02,rastrigin,40,0.0,0.86,0.02,7.541144486729183,50,5,0.1,204.66023021937886,204.43582282014916,98.6,0.2,98.4,44.12128691194593,44.113286911945934,0.008,0.9997886294065935,0.021327746186029686,0.06364348169432758
proxy_sigma_controller,geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p02,proxy_sigma_controller:geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p02,rastrigin,40,0.1,0.86,0.02,7.541144486729183,50,5,0.1,202.70749968089007,196.43284482379335,99.8,0.6,99.4,44.47282893412809,44.448828934128095,0.024,0.9995258813901836,0.021825931256783514,0.06693987766212395
proxy_sigma_controller,geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p02,proxy_sigma_controller:geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p02,rastrigin,40,0.2,0.86,0.02,7.541144486729183,50,5,0.1,203.88623055631086,193.9353180598044,98.2,1.4,97.8,46.944177791906796,46.88817779190679,0.05600000000000001,0.9984454502200591,0.023096519944391027,0.06824158498024521
proxy_sigma_controller,geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p02,proxy_sigma_controller:geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p02,rosenbrock,10,0.0,0.86,0.02,7.541144486729183,50,50,1.0,17.493178265761085,7.561919859336475,74.44,20.7,73.62,31.915866053788207,31.087866053788215,0.8280000000000001,0.9723769521874037,0.01934009344731461,0.05804535604093581
proxy_sigma_controller,geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p02,proxy_sigma_controller:geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p02,rosenbrock,10,0.1,0.86,0.02,7.541144486729183,50,50,1.0,20.149215940460873,8.245193133396214,72.82,22.1,71.98,31.76560890434892,30.881608904348923,0.884,0.9702789204847118,0.019639304833893808,0.05860049349398658
proxy_sigma_controller,geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p02,proxy_sigma_controller:geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p02,rosenbrock,10,0.2,0.86,0.02,7.541144486729183,50,50,1.0,19.103797249958582,7.828256854448716,74.0,22.26,73.12,31.850652837561576,30.96025283756157,0.8904000000000001,0.9700913638291293,0.0199199319321437,0.05878836918213086
proxy_sigma_controller,geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p02,proxy_sigma_controller:geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p02,rosenbrock,20,0.0,0.86,0.02,7.541144486729183,50,50,1.0,89.02516105162606,82.52519230034073,97.12,2.52,96.72,43.7228854633213,43.6220854633213,0.10079999999999999,0.9974498784633833,0.011343014481077331,0.05153946980237068
proxy_sigma_controller,geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p02,proxy_sigma_controller:geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p02,rosenbrock,20,0.1,0.86,0.02,7.541144486729183,50,50,1.0,90.94048903069351,83.05855169528579,96.06,2.8,95.66,43.69660842184216,43.584608421842155,0.11199999999999999,0.9970360831815236,0.011502558200716323,0.05151052687911476
