method,variant_id,method_instance,n_runs,n_behavior_rows,proxy_fraction_at_floor_mean,proxy_fraction_at_floor_median,proxy_time_to_first_floor_gen_mean,proxy_n_floor_entries_mean,proxy_n_floor_exits_mean,proxy_n_down_steps_mean,proxy_n_up_steps_mean,proxy_n_neutral_steps_mean,proxy_sigma_min_seen_mean,proxy_sigma_max_seen_mean,proxy_ema_snr_last_mean
proxy_sigma_controller,geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p02,proxy_sigma_controller:geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p02,1800,1800,0.11649444444444444,0.0,86.59666666666666,0.97,0.5544444444444444,22.38,21.72833333333333,55.891666666666666,0.07469687197104152,2.0083928103232442,0.14983030265230468
proxy_sigma_controller,geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p03,proxy_sigma_controller:geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p03,1800,1800,0.16187222222222222,0.08,80.52555555555556,1.291111111111111,0.7672222222222222,24.637777777777778,20.675555555555555,54.68666666666667,0.08604886544545758,2.0083928103232442,0.12557859569878319
proxy_sigma_controller,geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p05,proxy_sigma_controller:geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p05,1800,1800,0.2509222222222222,0.25,69.44111111111111,1.8777777777777778,1.2405555555555556,29.817777777777778,18.087777777777777,52.09444444444444,0.11432235718640385,2.0083928103232442,0.09459604511671522
proxy_sigma_controller,geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p07,proxy_sigma_controller:geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p07,1800,1800,0.3299722222222222,0.36,60.70444444444445,2.3216666666666668,1.5844444444444445,34.702777777777776,15.95888888888889,49.33833333333333,0.14646419293129953,2.0083928103232442,0.0804932806982617
proxy_sigma_controller,geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p1,proxy_sigma_controller:geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p1,1800,1800,0.4215111111111111,0.48,51.78722222222222,2.707222222222222,1.8416666666666666,41.05888888888889,13.655,45.28611111111111,0.20111877787647628,2.0083928103232442,0.05256643154751722
proxy_sigma_controller,geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p15,proxy_sigma_controller:geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p15,1800,1800,0.5292833333333333,0.58,42.346666666666664,3.1838888888888888,2.222777777777778,49.23722222222222,11.362777777777778,39.4,0.3000021521617275,2.0083928103232442,0.026317458620072808
proxy_sigma_controller,geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p2,proxy_sigma_controller:geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p2,1800,1800,0.5978555555555556,0.64,35.93333333333333,3.3872222222222224,2.411111111111111,54.559444444444445,9.89611111111111,35.544444444444444,0.4,2.0083928103232442,0.01678435219792945
proxy_sigma_controller,geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p25,proxy_sigma_controller:geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p25,1800,1800,0.6479388888888888,0.675,31.445,3.3733333333333335,2.405,58.221111111111114,9.002222222222223,32.776666666666664,0.5,2.0083928103232442,0.01160680979039905
proxy_sigma_controller,geomdense__sigma_down_factor_0p88__sigma_min_ratio_0p02,proxy_sigma_controller:geomdense__sigma_down_factor_0p88__sigma_min_ratio_0p02,1800,1800,0.10821111111111113,0.0,87.99222222222222,0.875,0.4866666666666667,23.343333333333334,20.88111111111111,55.775555555555556,0.07783683155846022,2.0063908637371393,0.1409410878975986
proxy_sigma_controller,geomdense__sigma_down_factor_0p88__sigma_min_ratio_0p03,proxy_sigma_controller:geomdense__sigma_down_factor_0p88__sigma_min_ratio_0p03,1800,1800,0.15057777777777775,0.06,82.59555555555555,1.13,0.64,25.495555555555555,19.904444444444444,54.6,0.08825977588869677,2.0063908637371393,0.12401040710620789
