function,dimension,noise_sigma,method,variant_id,method_instance,reference_method_instance,n_pairs,reference_median,method_median,median_delta_vs_reference,win_rate_vs_reference,loss_rate_vs_reference,wilcoxon_p_two_sided,bh_fdr_q_value
ellipsoid_cond1e6,10,0.0,proxy_sigma_controller,geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p02,proxy_sigma_controller:geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p02,vanilla_cma,50,1052.7762291922686,674.3718753635128,-357.0191254350655,0.72,0.28,0.005758302166270823,0.009336473040878238
ellipsoid_cond1e6,10,0.0,proxy_sigma_controller,geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p03,proxy_sigma_controller:geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p03,vanilla_cma,50,1052.7762291922686,713.4521169247885,-414.3201742857084,0.66,0.34,0.005758302166270823,0.009336473040878238
ellipsoid_cond1e6,10,0.0,proxy_sigma_controller,geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p05,proxy_sigma_controller:geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p05,vanilla_cma,50,1052.7762291922686,650.2151772483676,-423.57913090059867,0.66,0.34,0.017101069545240932,0.02604154939341382
ellipsoid_cond1e6,10,0.0,proxy_sigma_controller,geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p07,proxy_sigma_controller:geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p07,vanilla_cma,50,1052.7762291922686,590.3256908200967,-310.1660082008527,0.62,0.38,0.00939211543820484,0.014760869010657538
ellipsoid_cond1e6,10,0.0,proxy_sigma_controller,geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p1,proxy_sigma_controller:geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p1,vanilla_cma,50,1052.7762291922686,702.2063375917523,-251.75316673540277,0.58,0.42,0.10316599771973678,0.13819445275946135
ellipsoid_cond1e6,10,0.0,proxy_sigma_controller,geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p15,proxy_sigma_controller:geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p15,vanilla_cma,50,1052.7762291922686,1115.4193140193577,314.7532973152365,0.4,0.6,0.49032624846387485,0.557882309363342
ellipsoid_cond1e6,10,0.0,proxy_sigma_controller,geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p2,proxy_sigma_controller:geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p2,vanilla_cma,50,1052.7762291922686,1333.3963789571837,180.8321152185207,0.44,0.56,0.34720687274462314,0.4117162299555387
ellipsoid_cond1e6,10,0.0,proxy_sigma_controller,geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p25,proxy_sigma_controller:geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p25,vanilla_cma,50,1052.7762291922686,1619.569029961443,609.3468140387009,0.32,0.68,0.010566648384996213,0.016483112985126117
ellipsoid_cond1e6,10,0.0,proxy_sigma_controller,geomdense__sigma_down_factor_0p88__sigma_min_ratio_0p02,proxy_sigma_controller:geomdense__sigma_down_factor_0p88__sigma_min_ratio_0p02,vanilla_cma,50,1052.7762291922686,783.36666390213,-174.75191688018032,0.6,0.4,0.06930163067169381,0.09526906746275808
ellipsoid_cond1e6,10,0.0,proxy_sigma_controller,geomdense__sigma_down_factor_0p88__sigma_min_ratio_0p03,proxy_sigma_controller:geomdense__sigma_down_factor_0p88__sigma_min_ratio_0p03,vanilla_cma,50,1052.7762291922686,740.4085729654325,-204.7149942981183,0.6,0.4,0.05060520369320898,0.07153030018966472
ellipsoid_cond1e6,10,0.0,proxy_sigma_controller,geomdense__sigma_down_factor_0p88__sigma_min_ratio_0p05,proxy_sigma_controller:geomdense__sigma_down_factor_0p88__sigma_min_ratio_0p05,vanilla_cma,50,1052.7762291922686,685.7072342337964,-174.3564058035687,0.58,0.42,0.06633200503891068,0.09178915291870883
ellipsoid_cond1e6,10,0.0,proxy_sigma_controller,geomdense__sigma_down_factor_0p88__sigma_min_ratio_0p07,proxy_sigma_controller:geomdense__sigma_down_factor_0p88__sigma_min_ratio_0p07,vanilla_cma,50,1052.7762291922686,706.173660429093,-318.03737981799816,0.7,0.3,0.00784436585604098,0.01247302893879808
ellipsoid_cond1e6,10,0.0,proxy_sigma_controller,geomdense__sigma_down_factor_0p88__sigma_min_ratio_0p1,proxy_sigma_controller:geomdense__sigma_down_factor_0p88__sigma_min_ratio_0p1,vanilla_cma,50,1052.7762291922686,821.7733422844217,-104.46698240545952,0.54,0.46,0.31832456588976044,0.3827869518841378
ellipsoid_cond1e6,10,0.0,proxy_sigma_controller,geomdense__sigma_down_factor_0p88__sigma_min_ratio_0p15,proxy_sigma_controller:geomdense__sigma_down_factor_0p88__sigma_min_ratio_0p15,vanilla_cma,50,1052.7762291922686,1035.0413558725036,109.37777977511558,0.46,0.54,0.9466061989829431,0.9616316942048946
ellipsoid_cond1e6,10,0.0,proxy_sigma_controller,geomdense__sigma_down_factor_0p88__sigma_min_ratio_0p2,proxy_sigma_controller:geomdense__sigma_down_factor_0p88__sigma_min_ratio_0p2,vanilla_cma,50,1052.7762291922686,1357.4875817026964,121.66686135312096,0.46,0.54,0.1329605561585705,0.17395861521257605
ellipsoid_cond1e6,10,0.0,proxy_sigma_controller,geomdense__sigma_down_factor_0p88__sigma_min_ratio_0p25,proxy_sigma_controller:geomdense__sigma_down_factor_0p88__sigma_min_ratio_0p25,vanilla_cma,50,1052.7762291922686,1616.5362319569904,701.0019769479659,0.2,0.8,0.0003825853095680287,0.0006973706908581789
ellipsoid_cond1e6,10,0.0,proxy_sigma_controller,geomdense__sigma_down_factor_0p93__sigma_min_ratio_0p02,proxy_sigma_controller:geomdense__sigma_down_factor_0p93__sigma_min_ratio_0p02,vanilla_cma,50,1052.7762291922686,871.5776314007385,-235.92661077920565,0.62,0.38,0.04719429796794117,0.06707937231223716
ellipsoid_cond1e6,10,0.0,proxy_sigma_controller,geomdense__sigma_down_factor_0p93__sigma_min_ratio_0p03,proxy_sigma_controller:geomdense__sigma_down_factor_0p93__sigma_min_ratio_0p03,vanilla_cma,50,1052.7762291922686,815.0006774281903,-232.10287751003142,0.64,0.36,0.033687793845592395,0.048938636204441915
ellipsoid_cond1e6,10,0.0,proxy_sigma_controller,geomdense__sigma_down_factor_0p93__sigma_min_ratio_0p05,proxy_sigma_controller:geomdense__sigma_down_factor_0p93__sigma_min_ratio_0p05,vanilla_cma,50,1052.7762291922686,769.1325225451967,-176.9608528992604,0.62,0.38,0.01958777690517799,0.029574205759849335
ellipsoid_cond1e6,10,0.0,proxy_sigma_controller,geomdense__sigma_down_factor_0p93__sigma_min_ratio_0p07,proxy_sigma_controller:geomdense__sigma_down_factor_0p93__sigma_min_ratio_0p07,vanilla_cma,50,1052.7762291922686,856.8005455180613,-246.95591208864835,0.58,0.42,0.04830953815983641,0.06841129435787528
ellipsoid_cond1e6,10,0.0,proxy_sigma_controller,geomdense__sigma_down_factor_0p93__sigma_min_ratio_0p1,proxy_sigma_controller:geomdense__sigma_down_factor_0p93__sigma_min_ratio_0p1,vanilla_cma,50,1052.7762291922686,904.8835786486457,-279.1099878102742,0.6,0.4,0.13045894629165566,0.1710742243915621
ellipsoid_cond1e6,10,0.0,proxy_sigma_controller,geomdense__sigma_down_factor_0p93__sigma_min_ratio_0p15,proxy_sigma_controller:geomdense__sigma_down_factor_0p93__sigma_min_ratio_0p15,vanilla_cma,50,1052.7762291922686,1028.3005401959763,72.92350107695844,0.44,0.56,0.6666519727454681,0.7248542450238595
ellipsoid_cond1e6,10,0.0,proxy_sigma_controller,geomdense__sigma_down_factor_0p93__sigma_min_ratio_0p2,proxy_sigma_controller:geomdense__sigma_down_factor_0p93__sigma_min_ratio_0p2,vanilla_cma,50,1052.7762291922686,1216.0273947308592,133.55392919390152,0.38,0.62,0.3374027667706141,0.4015371769832102
ellipsoid_cond1e6,10,0.0,proxy_sigma_controller,geomdense__sigma_down_factor_0p93__sigma_min_ratio_0p25,proxy_sigma_controller:geomdense__sigma_down_factor_0p93__sigma_min_ratio_0p25,vanilla_cma,50,1052.7762291922686,1699.45329989938,525.4612381354781,0.4,0.6,0.03048635454688231,0.04459718150858212
ellipsoid_cond1e6,10,0.0,proxy_sigma_controller,geomdense__sigma_down_factor_0p95__sigma_min_ratio_0p02,proxy_sigma_controller:geomdense__sigma_down_factor_0p95__sigma_min_ratio_0p02,vanilla_cma,50,1052.7762291922686,797.6158923820989,-181.8640809224263,0.58,0.42,0.24513084584396871,0.30446440367897787
ellipsoid_cond1e6,10,0.0,proxy_sigma_controller,geomdense__sigma_down_factor_0p95__sigma_min_ratio_0p03,proxy_sigma_controller:geomdense__sigma_down_factor_0p95__sigma_min_ratio_0p03,vanilla_cma,50,1052.7762291922686,792.8795999736192,-183.51256987612294,0.58,0.42,0.2373529877703877,0.2960808250259736
ellipsoid_cond1e6,10,0.0,proxy_sigma_controller,geomdense__sigma_down_factor_0p95__sigma_min_ratio_0p05,proxy_sigma_controller:geomdense__sigma_down_factor_0p95__sigma_min_ratio_0p05,vanilla_cma,50,1052.7762291922686,797.6158923820989,-187.26847947746566,0.62,0.38,0.174987615360088,0.22473325852265483
ellipsoid_cond1e6,10,0.0,proxy_sigma_controller,geomdense__sigma_down_factor_0p95__sigma_min_ratio_0p07,proxy_sigma_controller:geomdense__sigma_down_factor_0p95__sigma_min_ratio_0p07,vanilla_cma,50,1052.7762291922686,811.2808554597705,-88.56471016818051,0.58,0.42,0.17191424676435396,0.22127956678495617
ellipsoid_cond1e6,10,0.0,proxy_sigma_controller,geomdense__sigma_down_factor_0p95__sigma_min_ratio_0p1,proxy_sigma_controller:geomdense__sigma_down_factor_0p95__sigma_min_ratio_0p1,vanilla_cma,50,1052.7762291922686,823.7305394974641,79.83848088690036,0.48,0.52,0.5720861414815896,0.6376809240317284
ellipsoid_cond1e6,10,0.0,proxy_sigma_controller,geomdense__sigma_down_factor_0p95__sigma_min_ratio_0p15,proxy_sigma_controller:geomdense__sigma_down_factor_0p95__sigma_min_ratio_0p15,vanilla_cma,50,1052.7762291922686,1060.2953977645461,121.39942234281881,0.44,0.56,0.5720861414815896,0.6376809240317284
ellipsoid_cond1e6,10,0.0,proxy_sigma_controller,geomdense__sigma_down_factor_0p95__sigma_min_ratio_0p2,proxy_sigma_controller:geomdense__sigma_down_factor_0p95__sigma_min_ratio_0p2,vanilla_cma,50,1052.7762291922686,1308.0762880569087,516.4547293632031,0.34,0.66,0.043975372036140215,0.06269756013073456
ellipsoid_cond1e6,10,0.0,proxy_sigma_controller,geomdense__sigma_down_factor_0p95__sigma_min_ratio_0p25,proxy_sigma_controller:geomdense__sigma_down_factor_0p95__sigma_min_ratio_0p25,vanilla_cma,50,1052.7762291922686,1504.9792916151773,490.0817034061535,0.3,0.7,0.00939211543820484,0.014760869010657538
