function,dimension,noise_sigma,method_a,method_b,n_pairs,median_delta_b_minus_a,win_rate_b_vs_a,loss_rate_b_vs_a,wilcoxon_p_two_sided,bh_fdr_q_value
rastrigin,20,0.0,vanilla_cma,proxy_sigma_controller:geom_k090_r010,40,-42.54632845403914,0.875,0.125,5.723268259316683e-08,1.373584382236004e-07
rastrigin,20,0.1,vanilla_cma,proxy_sigma_controller:geom_k090_r010,40,-36.72136304819083,0.8,0.2,2.4437304091406986e-06,4.887460818281397e-06
rastrigin,20,0.2,vanilla_cma,proxy_sigma_controller:geom_k090_r010,40,-34.34694688602677,0.85,0.15,4.299272404750809e-07,9.67336291068932e-07
rastrigin,40,0.0,vanilla_cma,proxy_sigma_controller:geom_k090_r010,40,-45.711167692621615,0.825,0.175,5.841629899805412e-07,1.2370510376058519e-06
rastrigin,40,0.1,vanilla_cma,proxy_sigma_controller:geom_k090_r010,40,-30.96131919256942,0.75,0.25,2.8431650207494386e-05,5.387049512998936e-05
rastrigin,40,0.2,vanilla_cma,proxy_sigma_controller:geom_k090_r010,40,-35.100115455871304,0.75,0.25,0.001517616927230847,0.0026016290181100237
rosenbrock,10,0.0,vanilla_cma,proxy_sigma_controller:geom_k090_r010,40,1.815705330390327,0.375,0.625,0.1617874718067469,0.18201090578259027
rosenbrock,10,0.1,vanilla_cma,proxy_sigma_controller:geom_k090_r010,40,2.589674778093052,0.25,0.75,0.058402880749781616,0.08086552719200532
rosenbrock,10,0.2,vanilla_cma,proxy_sigma_controller:geom_k090_r010,40,1.7709280430543353,0.275,0.725,0.03439493566293095,0.04952870735462057
rosenbrock,20,0.0,vanilla_cma,proxy_sigma_controller:geom_k090_r010,40,21.490575409946555,0.35,0.65,0.1149664051754371,0.13720536882887716
rosenbrock,20,0.1,vanilla_cma,proxy_sigma_controller:geom_k090_r010,40,17.483574736455434,0.325,0.675,0.1058129653429205,0.1313540259429358
rosenbrock,20,0.2,vanilla_cma,proxy_sigma_controller:geom_k090_r010,40,19.84135503764606,0.425,0.575,0.3611039877814619,0.38234539882743024
rosenbrock,40,0.0,vanilla_cma,proxy_sigma_controller:geom_k090_r010,40,-73.082161792498,0.6,0.4,0.11814906760264421,0.13720536882887716
rosenbrock,40,0.1,vanilla_cma,proxy_sigma_controller:geom_k090_r010,40,-73.1115423646298,0.625,0.375,0.09449897358172166,0.12599863144229553
rosenbrock,40,0.2,vanilla_cma,proxy_sigma_controller:geom_k090_r010,40,-96.59523262075214,0.625,0.375,0.1000314528009767,0.12861186788697004
sphere,10,0.0,vanilla_cma,proxy_sigma_controller:geom_k090_r010,40,0.02000480139893774,0.0,1.0,1.8189894035458565e-12,2.1827872842550278e-11
sphere,10,0.1,vanilla_cma,proxy_sigma_controller:geom_k090_r010,40,0.05931343720192775,0.05,0.95,1.6007106751203537e-10,7.203198038041592e-10
sphere,10,0.2,vanilla_cma,proxy_sigma_controller:geom_k090_r010,40,0.041355881370624875,0.275,0.725,0.01355766506276268,0.02033649759414402
sphere,20,0.0,vanilla_cma,proxy_sigma_controller:geom_k090_r010,40,0.2963545105051812,0.0,1.0,1.8189894035458565e-12,2.1827872842550278e-11
sphere,20,0.1,vanilla_cma,proxy_sigma_controller:geom_k090_r010,40,0.32258135545933647,0.0,1.0,1.8189894035458565e-12,2.1827872842550278e-11
sphere,20,0.2,vanilla_cma,proxy_sigma_controller:geom_k090_r010,40,0.3350360405901278,0.05,0.95,3.456079866737127e-11,1.7774125028933796e-10
sphere,40,0.0,vanilla_cma,proxy_sigma_controller:geom_k090_r010,40,1.2072400250700073,0.125,0.875,3.1632225727662444e-09,1.1104930308647454e-08
sphere,40,0.1,vanilla_cma,proxy_sigma_controller:geom_k090_r010,40,1.2212178206810278,0.125,0.875,4.474713932722807e-08,1.1506407255572932e-07
sphere,40,0.2,vanilla_cma,proxy_sigma_controller:geom_k090_r010,40,0.9840333960199769,0.175,0.825,4.320099833421409e-09,1.1963353384859287e-08
