function,dimension,noise_sigma,method_a,method_b,n_pairs,median_delta_b_minus_a,win_rate_b_vs_a,loss_rate_b_vs_a,wilcoxon_p_two_sided,bh_fdr_q_value
ellipsoid_cond1e6,10,0.0,vanilla_cma,proxy_sigma_controller:geom_k090_r010,40,-349.27498863729,0.7,0.3,0.001770566779669025,0.002897291094003859
ellipsoid_cond1e6,10,0.1,vanilla_cma,proxy_sigma_controller:geom_k090_r010,40,-349.28685067718146,0.725,0.275,0.0012975311765330844,0.002335556117759552
ellipsoid_cond1e6,10,0.2,vanilla_cma,proxy_sigma_controller:geom_k090_r010,40,-326.0896839307905,0.675,0.325,0.0021662512626789976,0.00339065415028017
ellipsoid_cond1e6,20,0.0,vanilla_cma,proxy_sigma_controller:geom_k090_r010,40,-32548.900512691638,0.9,0.1,3.701643436215818e-09,1.1104930308647454e-08
ellipsoid_cond1e6,20,0.1,vanilla_cma,proxy_sigma_controller:geom_k090_r010,40,-32549.045819151524,0.9,0.1,3.701643436215818e-09,1.1104930308647454e-08
ellipsoid_cond1e6,20,0.2,vanilla_cma,proxy_sigma_controller:geom_k090_r010,40,-32549.26619522481,0.9,0.1,3.701643436215818e-09,1.1104930308647454e-08
ellipsoid_cond1e6,40,0.0,vanilla_cma,proxy_sigma_controller:geom_k090_r010,40,-650511.538327333,0.975,0.025,3.637978807091713e-12,2.1827872842550278e-11
ellipsoid_cond1e6,40,0.1,vanilla_cma,proxy_sigma_controller:geom_k090_r010,40,-650511.6451869996,0.975,0.025,3.637978807091713e-12,2.1827872842550278e-11
ellipsoid_cond1e6,40,0.2,vanilla_cma,proxy_sigma_controller:geom_k090_r010,40,-650511.6035148865,0.975,0.025,3.637978807091713e-12,2.1827872842550278e-11
rastrigin,10,0.0,vanilla_cma,proxy_sigma_controller:geom_k090_r010,40,-3.4813734259344624,0.625,0.375,0.259140549798758,0.2826987815986451
rastrigin,10,0.1,vanilla_cma,proxy_sigma_controller:geom_k090_r010,40,3.190957230217635,0.45,0.55,0.45981367328386114,0.4729512068062572
rastrigin,10,0.2,vanilla_cma,proxy_sigma_controller:geom_k090_r010,40,-1.82803014299658,0.55,0.45,0.6085058219759958,0.6085058219759958
