method,variant_id,method_instance,reference_method_instance,n_cells,median_of_cell_median_delta,mean_win_rate,mean_loss_rate,fraction_cells_median_delta_lt0,cells_q_lt_0_05,best_q_value
proxy_sigma_controller,int_k090_r005_t005_020,proxy_sigma_controller:int_k090_r005_t005_020,vanilla_cma,36,-21.613462169781812,0.5866666666666667,0.41333333333333333,0.5833333333333334,26,1.0440627954025962e-14
proxy_sigma_controller,int_k090_r005_t008_025,proxy_sigma_controller:int_k090_r005_t008_025,vanilla_cma,36,-43.074250626580145,0.6211111111111111,0.37888888888888883,0.6111111111111112,28,1.0440627954025962e-14
proxy_sigma_controller,int_k090_r005_t012_030,proxy_sigma_controller:int_k090_r005_t012_030,vanilla_cma,36,-39.593917899047604,0.66,0.34,0.6111111111111112,25,1.0440627954025962e-14
proxy_sigma_controller,int_k090_r005_t016_035,proxy_sigma_controller:int_k090_r005_t016_035,vanilla_cma,36,-39.200767630733175,0.7166666666666667,0.28333333333333344,0.7777777777777778,27,1.0440627954025962e-14
proxy_sigma_controller,int_k090_r010_t008_025,proxy_sigma_controller:int_k090_r010_t008_025,vanilla_cma,36,-18.764699262529696,0.5172222222222222,0.48277777777777775,0.5555555555555556,29,1.0440627954025962e-14
proxy_sigma_controller,int_k093_r010_t005_020,proxy_sigma_controller:int_k093_r010_t005_020,vanilla_cma,36,-15.288625729922838,0.48000000000000004,0.52,0.5833333333333334,25,1.0440627954025962e-14
proxy_sigma_controller,int_k093_r010_t008_025,proxy_sigma_controller:int_k093_r010_t008_025,vanilla_cma,36,-16.096919322182792,0.5094444444444445,0.4905555555555556,0.5833333333333334,29,1.0440627954025962e-14
proxy_sigma_controller,int_k093_r010_t012_030,proxy_sigma_controller:int_k093_r010_t012_030,vanilla_cma,36,-17.98205677515892,0.5494444444444444,0.45055555555555554,0.5833333333333334,31,1.0440627954025962e-14
proxy_sigma_controller,int_k093_r010_t016_035,proxy_sigma_controller:int_k093_r010_t016_035,vanilla_cma,36,-18.572381182748313,0.5477777777777777,0.45222222222222225,0.5555555555555556,25,1.0440627954025962e-14
proxy_sigma_controller,int_k095_r020_t005_020,proxy_sigma_controller:int_k095_r020_t005_020,vanilla_cma,36,4.923872409989358,0.2916666666666667,0.7083333333333334,0.25,25,1.0440627954025962e-14
proxy_sigma_controller,int_k095_r020_t008_025,proxy_sigma_controller:int_k095_r020_t008_025,vanilla_cma,36,4.510431381292572,0.28611111111111115,0.713888888888889,0.19444444444444445,25,1.0440627954025962e-14
proxy_sigma_controller,int_k095_r020_t012_030,proxy_sigma_controller:int_k095_r020_t012_030,vanilla_cma,36,6.122721438492022,0.2938888888888889,0.7061111111111111,0.19444444444444445,29,1.0440627954025962e-14
proxy_sigma_controller,int_k097_r005_t005_020,proxy_sigma_controller:int_k097_r005_t005_020,vanilla_cma,36,-6.011202977994703,0.5277777777777778,0.4722222222222222,0.5833333333333334,22,1.0440627954025962e-14
proxy_sigma_controller,int_k097_r005_t008_025,proxy_sigma_controller:int_k097_r005_t008_025,vanilla_cma,36,-2.9986468484155493,0.5733333333333334,0.4266666666666666,0.5555555555555556,22,1.0440627954025962e-14
proxy_sigma_controller,int_k097_r005_t012_030,proxy_sigma_controller:int_k097_r005_t012_030,vanilla_cma,36,-43.73202210927683,0.6211111111111111,0.3788888888888889,0.6111111111111112,22,1.0440627954025962e-14
proxy_sigma_controller,int_k097_r005_t016_035,proxy_sigma_controller:int_k097_r005_t016_035,vanilla_cma,36,-44.11347173779706,0.6611111111111112,0.3388888888888889,0.7777777777777778,22,1.0440627954025962e-14
