function,dimension,noise_sigma,method,variant_id,method_instance,reference_method_instance,n_pairs,reference_median,method_median,median_delta_vs_reference,win_rate_vs_reference,loss_rate_vs_reference,wilcoxon_p_two_sided,bh_fdr_q_value
ellipsoid_cond1e6,10,0.0,proxy_sigma_controller,int_k090_r005_t005_020,proxy_sigma_controller:int_k090_r005_t005_020,vanilla_cma,50,1052.7762291922686,747.0870849376054,-394.45723594071933,0.68,0.32,0.0027053239960554976,0.004280952257494414
ellipsoid_cond1e6,10,0.0,proxy_sigma_controller,int_k090_r005_t008_025,proxy_sigma_controller:int_k090_r005_t008_025,vanilla_cma,50,1052.7762291922686,550.77174572932,-409.91115359548473,0.76,0.24,0.0001858580190070569,0.00032245246671103845
ellipsoid_cond1e6,10,0.0,proxy_sigma_controller,int_k090_r005_t012_030,proxy_sigma_controller:int_k090_r005_t012_030,vanilla_cma,50,1052.7762291922686,673.0925922992533,-295.92594448726,0.68,0.32,0.0037864469724659955,0.005769823958043422
ellipsoid_cond1e6,10,0.0,proxy_sigma_controller,int_k090_r005_t016_035,proxy_sigma_controller:int_k090_r005_t016_035,vanilla_cma,50,1052.7762291922686,523.401688900885,-408.71592340968283,0.72,0.28,9.898605478397826e-06,1.9459374592345215e-05
ellipsoid_cond1e6,10,0.0,proxy_sigma_controller,int_k090_r010_t008_025,proxy_sigma_controller:int_k090_r010_t008_025,vanilla_cma,50,1052.7762291922686,647.932783439009,-376.40478425496406,0.68,0.32,0.0015962870115284744,0.002575521900953505
ellipsoid_cond1e6,10,0.0,proxy_sigma_controller,int_k093_r010_t005_020,proxy_sigma_controller:int_k093_r010_t005_020,vanilla_cma,50,1052.7762291922686,966.2144732355637,-50.37930345062088,0.54,0.46,0.5086300594933544,0.5548691558109321
ellipsoid_cond1e6,10,0.0,proxy_sigma_controller,int_k093_r010_t008_025,proxy_sigma_controller:int_k093_r010_t008_025,vanilla_cma,50,1052.7762291922686,904.8835786486457,-279.1099878102742,0.6,0.4,0.13045894629165566,0.16407063987771542
ellipsoid_cond1e6,10,0.0,proxy_sigma_controller,int_k093_r010_t012_030,proxy_sigma_controller:int_k093_r010_t012_030,vanilla_cma,50,1052.7762291922686,564.533272075543,-329.40451000044493,0.7,0.3,0.002996250182501825,0.0046644327165433815
ellipsoid_cond1e6,10,0.0,proxy_sigma_controller,int_k093_r010_t016_035,proxy_sigma_controller:int_k093_r010_t016_035,vanilla_cma,50,1052.7762291922686,815.6917130095462,-117.86341849771918,0.58,0.42,0.05803543429142444,0.07738057905523259
ellipsoid_cond1e6,10,0.0,proxy_sigma_controller,int_k095_r020_t005_020,proxy_sigma_controller:int_k095_r020_t005_020,vanilla_cma,50,1052.7762291922686,1369.4662616539472,282.61578563146384,0.38,0.62,0.2999546071877397,0.3462401878559881
ellipsoid_cond1e6,10,0.0,proxy_sigma_controller,int_k095_r020_t008_025,proxy_sigma_controller:int_k095_r020_t008_025,vanilla_cma,50,1052.7762291922686,1308.0762880569087,516.4547293632031,0.34,0.66,0.043975372036140215,0.06016582967414908
ellipsoid_cond1e6,10,0.0,proxy_sigma_controller,int_k095_r020_t012_030,proxy_sigma_controller:int_k095_r020_t012_030,vanilla_cma,50,1052.7762291922686,1165.649595883053,299.8470205733537,0.38,0.62,0.27798803015155293,0.3247892603799077
ellipsoid_cond1e6,10,0.0,proxy_sigma_controller,int_k097_r005_t005_020,proxy_sigma_controller:int_k097_r005_t005_020,vanilla_cma,50,1052.7762291922686,819.8297292367765,-306.9918878472463,0.56,0.44,0.3044806608698192,0.3507617213220317
ellipsoid_cond1e6,10,0.0,proxy_sigma_controller,int_k097_r005_t008_025,proxy_sigma_controller:int_k097_r005_t008_025,vanilla_cma,50,1052.7762291922686,867.1083025549835,-251.60237343413053,0.64,0.36,0.27372721377670217,0.320461128323944
ellipsoid_cond1e6,10,0.0,proxy_sigma_controller,int_k097_r005_t012_030,proxy_sigma_controller:int_k097_r005_t012_030,vanilla_cma,50,1052.7762291922686,783.0265112663191,-244.233865738678,0.6,0.4,0.2695104487517437,0.3174601604928515
ellipsoid_cond1e6,10,0.0,proxy_sigma_controller,int_k097_r005_t016_035,proxy_sigma_controller:int_k097_r005_t016_035,vanilla_cma,50,1052.7762291922686,816.0026066994712,-181.99276971178693,0.66,0.34,0.0857934137886982,0.11030581772832626
ellipsoid_cond1e6,10,0.1,proxy_sigma_controller,int_k090_r005_t005_020,proxy_sigma_controller:int_k090_r005_t005_020,vanilla_cma,50,1052.6716765148976,770.2485297446567,-394.51140994698943,0.66,0.34,0.005579489549422334,0.008391086110880587
ellipsoid_cond1e6,10,0.1,proxy_sigma_controller,int_k090_r005_t008_025,proxy_sigma_controller:int_k090_r005_t008_025,vanilla_cma,50,1052.6716765148976,548.6987254896768,-403.41612788998896,0.76,0.24,0.0002308749851795966,0.000399351325716059
