method,variant_id,method_instance,function,dimension,noise_sigma,seed,generations,final_best,k,r,descent_sharpness,proxy_trace_written,trace_available,trace_path,trace_rows,first_floor_gen_trace,floor_gens_trace,descent_gens_trace,sigma_volume_total,sigma_volume_descent,sigma_volume_floor,descent_volume_fraction,mean_log_contraction_descent,std_log_contraction_descent
proxy_sigma_controller,anchor_k086_r002,proxy_sigma_controller:anchor_k086_r002,sphere,10,0.0,1000,100,0.0009042219058276,0.86,0.02,7.541144486729183,True,True,artifacts/runs/descent-geometry/anchors-full/20260306T072559Z-ff541e20/results/proxy_traces/eval_proxy_sigma_controller_anchor_k086_r002_sphere_d10_n0p0_seed1000.csv,100.0,67.0,34.0,66.0,42.81228630154986,41.45228630154986,1.3600000000000003,0.9682334180795487,0.0019291188567691277,0.034291081074269314
proxy_sigma_controller,anchor_k086_r002,proxy_sigma_controller:anchor_k086_r002,sphere,10,0.0,1001,100,0.0006585495338111,0.86,0.02,7.541144486729183,True,True,artifacts/runs/descent-geometry/anchors-full/20260306T072559Z-ff541e20/results/proxy_traces/eval_proxy_sigma_controller_anchor_k086_r002_sphere_d10_n0p0_seed1001.csv,100.0,64.0,37.0,63.0,38.11321478416768,36.633214784167684,1.48,0.961168324205105,0.002490168996639784,0.03486691267791146
proxy_sigma_controller,anchor_k086_r002,proxy_sigma_controller:anchor_k086_r002,sphere,10,0.0,1002,100,0.0018382726875542,0.86,0.02,7.541144486729183,True,True,artifacts/runs/descent-geometry/anchors-full/20260306T072559Z-ff541e20/results/proxy_traces/eval_proxy_sigma_controller_anchor_k086_r002_sphere_d10_n0p0_seed1002.csv,100.0,72.0,27.0,71.0,47.01456672327314,45.93456672327314,1.08,0.9770283961914005,0.003543870571361421,0.042409691532265585
proxy_sigma_controller,anchor_k086_r002,proxy_sigma_controller:anchor_k086_r002,sphere,10,0.0,1003,100,0.0011412443092577,0.86,0.02,7.541144486729183,True,True,artifacts/runs/descent-geometry/anchors-full/20260306T072559Z-ff541e20/results/proxy_traces/eval_proxy_sigma_controller_anchor_k086_r002_sphere_d10_n0p0_seed1003.csv,100.0,59.0,41.0,58.0,33.35792247434279,31.717922474342792,1.6400000000000001,0.9508362668190321,0.007853405995355393,0.03977990808252024
proxy_sigma_controller,anchor_k086_r002,proxy_sigma_controller:anchor_k086_r002,sphere,10,0.0,1004,100,0.0007523294365548,0.86,0.02,7.541144486729183,True,True,artifacts/runs/descent-geometry/anchors-full/20260306T072559Z-ff541e20/results/proxy_traces/eval_proxy_sigma_controller_anchor_k086_r002_sphere_d10_n0p0_seed1004.csv,100.0,58.0,42.0,57.0,41.22809363449383,39.54809363449383,1.6800000000000002,0.9592510870161988,0.014373505442275955,0.052053704428403985
proxy_sigma_controller,anchor_k086_r002,proxy_sigma_controller:anchor_k086_r002,sphere,10,0.0,1005,100,0.0005350616748342,0.86,0.02,7.541144486729183,True,True,artifacts/runs/descent-geometry/anchors-full/20260306T072559Z-ff541e20/results/proxy_traces/eval_proxy_sigma_controller_anchor_k086_r002_sphere_d10_n0p0_seed1005.csv,100.0,59.0,42.0,58.0,34.631272679402116,32.951272679402116,1.6800000000000002,0.9514889326894641,0.012087148297302642,0.052726315327513866
proxy_sigma_controller,anchor_k086_r002,proxy_sigma_controller:anchor_k086_r002,sphere,10,0.0,1006,100,0.0005037900889372,0.86,0.02,7.541144486729183,True,True,artifacts/runs/descent-geometry/anchors-full/20260306T072559Z-ff541e20/results/proxy_traces/eval_proxy_sigma_controller_anchor_k086_r002_sphere_d10_n0p0_seed1006.csv,100.0,69.0,32.0,68.0,45.54606218778416,44.26606218778416,1.2800000000000002,0.9718965825251231,0.009874938220617791,0.04910376546213349
proxy_sigma_controller,anchor_k086_r002,proxy_sigma_controller:anchor_k086_r002,sphere,10,0.0,1007,100,0.0008689344261895,0.86,0.02,7.541144486729183,True,True,artifacts/runs/descent-geometry/anchors-full/20260306T072559Z-ff541e20/results/proxy_traces/eval_proxy_sigma_controller_anchor_k086_r002_sphere_d10_n0p0_seed1007.csv,100.0,56.0,45.0,55.0,36.783711222294684,34.98371122229469,1.8000000000000003,0.951065296562327,0.005057176986933568,0.042468062826256855
proxy_sigma_controller,anchor_k086_r002,proxy_sigma_controller:anchor_k086_r002,sphere,10,0.0,1008,100,0.0007384761516686,0.86,0.02,7.541144486729183,True,True,artifacts/runs/descent-geometry/anchors-full/20260306T072559Z-ff541e20/results/proxy_traces/eval_proxy_sigma_controller_anchor_k086_r002_sphere_d10_n0p0_seed1008.csv,100.0,46.0,53.0,45.0,22.782457176608396,20.662457176608395,2.12,0.9069459460160125,0.016825407271106232,0.0533572099708661
proxy_sigma_controller,anchor_k086_r002,proxy_sigma_controller:anchor_k086_r002,sphere,10,0.0,1009,100,0.0006411815688717,0.86,0.02,7.541144486729183,True,True,artifacts/runs/descent-geometry/anchors-full/20260306T072559Z-ff541e20/results/proxy_traces/eval_proxy_sigma_controller_anchor_k086_r002_sphere_d10_n0p0_seed1009.csv,100.0,63.0,38.0,62.0,39.020779619330185,37.50077961933018,1.52,0.9610463959247236,-0.00376518611944344,0.023149928409779495
