function,dimension,noise_sigma,method_a,method_b,n_pairs,median_delta_b_minus_a,win_rate_b_vs_a,loss_rate_b_vs_a,wilcoxon_p_two_sided,bh_fdr_q_value
ellipsoid_cond1e6,10,0.0,vanilla_cma,proxy_sigma_controller:anchor_k090_r010,20,-387.9980195908004,0.8,0.2,0.00830841064453125,0.014242989676339286
ellipsoid_cond1e6,10,0.1,vanilla_cma,proxy_sigma_controller:anchor_k090_r010,20,-388.00932290228303,0.8,0.2,0.00830841064453125,0.014242989676339286
ellipsoid_cond1e6,10,0.2,vanilla_cma,proxy_sigma_controller:anchor_k090_r010,20,-388.0136162973029,0.8,0.2,0.00830841064453125,0.014242989676339286
ellipsoid_cond1e6,20,0.0,vanilla_cma,proxy_sigma_controller:anchor_k090_r010,20,-35459.75306155409,0.9,0.1,4.76837158203125e-05,0.00013204721304086538
ellipsoid_cond1e6,20,0.1,vanilla_cma,proxy_sigma_controller:anchor_k090_r010,20,-35459.71589270583,0.9,0.1,4.76837158203125e-05,0.00013204721304086538
ellipsoid_cond1e6,20,0.2,vanilla_cma,proxy_sigma_controller:anchor_k090_r010,20,-35459.55582953633,0.9,0.1,4.76837158203125e-05,0.00013204721304086538
ellipsoid_cond1e6,40,0.0,vanilla_cma,proxy_sigma_controller:anchor_k090_r010,20,-652605.3719990489,0.95,0.05,3.814697265625e-06,2.288818359375e-05
ellipsoid_cond1e6,40,0.1,vanilla_cma,proxy_sigma_controller:anchor_k090_r010,20,-652605.3290105069,0.95,0.05,3.814697265625e-06,2.288818359375e-05
ellipsoid_cond1e6,40,0.2,vanilla_cma,proxy_sigma_controller:anchor_k090_r010,20,-652605.4621570413,0.95,0.05,3.814697265625e-06,2.288818359375e-05
rastrigin,10,0.0,vanilla_cma,proxy_sigma_controller:anchor_k090_r010,20,-1.2478708904007867,0.6,0.4,0.7561664581298828,0.7777712140764509
rastrigin,10,0.1,vanilla_cma,proxy_sigma_controller:anchor_k090_r010,20,0.7050938616629825,0.5,0.5,0.47490501403808594,0.5342681407928467
rastrigin,10,0.2,vanilla_cma,proxy_sigma_controller:anchor_k090_r010,20,-4.349643057388565,0.6,0.4,0.9854354858398438,0.9854354858398438
rastrigin,20,0.0,vanilla_cma,proxy_sigma_controller:anchor_k090_r010,20,-41.09919210857443,0.9,0.1,0.000850677490234375,0.001801434685202206
rastrigin,20,0.1,vanilla_cma,proxy_sigma_controller:anchor_k090_r010,20,-36.264332381907096,0.65,0.35,0.026641845703125,0.041700280230978264
rastrigin,20,0.2,vanilla_cma,proxy_sigma_controller:anchor_k090_r010,20,-34.34694688602677,0.9,0.1,0.000133514404296875,0.0003204345703125
