function,dimension,noise_sigma,method_a,method_b,n_pairs,median_delta_b_minus_a,win_rate_b_vs_a,loss_rate_b_vs_a,wilcoxon_p_two_sided,bh_fdr_q_value
rastrigin,40,0.0,vanilla_cma,proxy_sigma_controller:anchor_k090_r010,20,-41.261782085536595,0.85,0.15,0.0001678466796875,0.000377655029296875
rastrigin,40,0.1,vanilla_cma,proxy_sigma_controller:anchor_k090_r010,20,-14.693494803887035,0.6,0.4,0.039989471435546875,0.05998420715332031
rastrigin,40,0.2,vanilla_cma,proxy_sigma_controller:anchor_k090_r010,20,-38.31392509350965,0.8,0.2,0.001689910888671875,0.00337982177734375
rosenbrock,10,0.0,vanilla_cma,proxy_sigma_controller:anchor_k090_r010,20,1.1982006039570345,0.4,0.6,0.4523754119873047,0.5342681407928467
rosenbrock,10,0.1,vanilla_cma,proxy_sigma_controller:anchor_k090_r010,20,2.500989172836708,0.25,0.75,0.08969497680664062,0.12419304480919471
rosenbrock,10,0.2,vanilla_cma,proxy_sigma_controller:anchor_k090_r010,20,1.5904939903098079,0.3,0.7,0.3299827575683594,0.4096337680158944
rosenbrock,20,0.0,vanilla_cma,proxy_sigma_controller:anchor_k090_r010,20,25.865369477241135,0.3,0.7,0.08969497680664062,0.12419304480919471
rosenbrock,20,0.1,vanilla_cma,proxy_sigma_controller:anchor_k090_r010,20,27.538038293598184,0.25,0.75,0.10539817810058594,0.1405309041341146
rosenbrock,20,0.2,vanilla_cma,proxy_sigma_controller:anchor_k090_r010,20,21.834429328613293,0.3,0.7,0.24548721313476562,0.3156264168875558
rosenbrock,40,0.0,vanilla_cma,proxy_sigma_controller:anchor_k090_r010,20,-36.06059056596354,0.6,0.4,0.49800872802734375,0.5432822487571023
rosenbrock,40,0.1,vanilla_cma,proxy_sigma_controller:anchor_k090_r010,20,-61.089683427127,0.65,0.35,0.47490501403808594,0.5342681407928467
rosenbrock,40,0.2,vanilla_cma,proxy_sigma_controller:anchor_k090_r010,20,-68.84529089256137,0.6,0.4,0.5216732025146484,0.5523598614860984
sphere,10,0.0,vanilla_cma,proxy_sigma_controller:anchor_k090_r010,20,0.018525356522440216,0.0,1.0,1.9073486328125e-06,2.288818359375e-05
sphere,10,0.1,vanilla_cma,proxy_sigma_controller:anchor_k090_r010,20,0.05931343720192775,0.05,0.95,1.9073486328125e-05,6.866455078125e-05
sphere,10,0.2,vanilla_cma,proxy_sigma_controller:anchor_k090_r010,20,0.05306660925980486,0.25,0.75,0.013616561889648438,0.022281646728515625
sphere,20,0.0,vanilla_cma,proxy_sigma_controller:anchor_k090_r010,20,0.302268609685428,0.0,1.0,1.9073486328125e-06,2.288818359375e-05
sphere,20,0.1,vanilla_cma,proxy_sigma_controller:anchor_k090_r010,20,0.31777724230182713,0.0,1.0,1.9073486328125e-06,2.288818359375e-05
sphere,20,0.2,vanilla_cma,proxy_sigma_controller:anchor_k090_r010,20,0.3484093933032859,0.1,0.9,1.9073486328125e-05,6.866455078125e-05
sphere,40,0.0,vanilla_cma,proxy_sigma_controller:anchor_k090_r010,20,1.4444829612081769,0.1,0.9,9.5367431640625e-06,4.904610770089286e-05
sphere,40,0.1,vanilla_cma,proxy_sigma_controller:anchor_k090_r010,20,1.161987063898978,0.1,0.9,0.000133514404296875,0.0003204345703125
sphere,40,0.2,vanilla_cma,proxy_sigma_controller:anchor_k090_r010,20,1.2678996700930596,0.1,0.9,1.33514404296875e-05,6.008148193359375e-05
