method,variant_id,method_instance,function,dimension,noise_sigma,k,r,descent_sharpness,n_runs,n_trace_available,trace_coverage,final_best_mean,final_best_median,first_floor_gen_trace_mean,floor_gens_trace_mean,descent_gens_trace_mean,sigma_volume_total_mean,sigma_volume_descent_mean,sigma_volume_floor_mean,descent_volume_fraction_mean,mean_log_contraction_descent_mean,std_log_contraction_descent_mean
proxy_sigma_controller,anchor_k086_r002,proxy_sigma_controller:anchor_k086_r002,ellipsoid_cond1e6,10,0.0,0.86,0.02,7.541144486729183,20,20,1.0,786.7889753273613,689.8766358225275,90.8,3.3,90.35,30.090414250450852,29.958414250450858,0.132,0.9953828155633166,0.03394926781972717,0.06761023941744404
proxy_sigma_controller,anchor_k086_r002,proxy_sigma_controller:anchor_k086_r002,ellipsoid_cond1e6,10,0.1,0.86,0.02,7.541144486729183,20,20,1.0,814.9544976782533,714.7220807432705,90.8,3.4,90.35,30.049036036314288,29.913036036314292,0.136,0.9951560776318311,0.03394926781972717,0.06761023941744404
proxy_sigma_controller,anchor_k086_r002,proxy_sigma_controller:anchor_k086_r002,ellipsoid_cond1e6,10,0.2,0.86,0.02,7.541144486729183,20,20,1.0,799.6290378506866,665.4046609954539,91.85,2.7,91.5,30.098227859267546,29.99022785926755,0.10800000000000001,0.9964179468361362,0.033660998870724476,0.06744722116768456
proxy_sigma_controller,anchor_k086_r002,proxy_sigma_controller:anchor_k086_r002,ellipsoid_cond1e6,20,0.0,0.86,0.02,7.541144486729183,20,20,1.0,26635.20134292306,23534.135881677852,97.7,0.35,97.6,39.67042815100165,39.656428151001656,0.013999999999999999,0.9996013915415343,0.030946897898763415,0.06677265942726165
proxy_sigma_controller,anchor_k086_r002,proxy_sigma_controller:anchor_k086_r002,ellipsoid_cond1e6,20,0.1,0.86,0.02,7.541144486729183,20,20,1.0,26635.16261373688,23534.060618793494,97.7,0.35,97.6,39.67042815100165,39.656428151001656,0.013999999999999999,0.9996013915415343,0.030946897898763415,0.06677265942726165
proxy_sigma_controller,anchor_k086_r002,proxy_sigma_controller:anchor_k086_r002,ellipsoid_cond1e6,20,0.2,0.86,0.02,7.541144486729183,20,20,1.0,26635.224089947493,23534.203941633896,97.7,0.35,97.6,39.67042815100165,39.656428151001656,0.013999999999999999,0.9996013915415343,0.030946897898763415,0.06677265942726165
proxy_sigma_controller,anchor_k086_r002,proxy_sigma_controller:anchor_k086_r002,ellipsoid_cond1e6,40,0.0,0.86,0.02,7.541144486729183,20,20,1.0,297878.19589153014,291601.0215621891,100.0,0.0,100.0,51.8175909197155,51.8175909197155,0.0,1.0,0.023066706547392134,0.06247631584998472
proxy_sigma_controller,anchor_k086_r002,proxy_sigma_controller:anchor_k086_r002,ellipsoid_cond1e6,40,0.1,0.86,0.02,7.541144486729183,20,20,1.0,297878.16726234904,291601.0092860769,100.0,0.0,100.0,51.8175909197155,51.8175909197155,0.0,1.0,0.023066706547392134,0.06247631584998472
proxy_sigma_controller,anchor_k086_r002,proxy_sigma_controller:anchor_k086_r002,ellipsoid_cond1e6,40,0.2,0.86,0.02,7.541144486729183,20,20,1.0,297878.16135741724,291601.2338591084,100.0,0.0,100.0,51.8175909197155,51.8175909197155,0.0,1.0,0.023066706547392134,0.06247631584998472
proxy_sigma_controller,anchor_k086_r002,proxy_sigma_controller:anchor_k086_r002,rastrigin,10,0.0,0.86,0.02,7.541144486729183,20,20,1.0,18.76195938660673,18.109145910851403,59.1,41.5,58.1,35.15979209793891,33.49979209793891,1.6600000000000001,0.9496146572916271,0.03568574811835804,0.07137446342201556
proxy_sigma_controller,anchor_k086_r002,proxy_sigma_controller:anchor_k086_r002,rastrigin,10,0.1,0.86,0.02,7.541144486729183,20,20,1.0,18.642506832337205,18.039764888094766,58.55,41.9,57.55,34.99182277873514,33.31582277873514,1.6760000000000002,0.950347759410129,0.03549287936230007,0.07047851200808315
proxy_sigma_controller,anchor_k086_r002,proxy_sigma_controller:anchor_k086_r002,rastrigin,10,0.2,0.86,0.02,7.541144486729183,20,20,1.0,20.64853552680511,17.84911884751132,56.45,43.45,55.45,33.49598777090988,31.75798777090988,1.7380000000000002,0.94556898893685,0.036278952042187736,0.0717185588991229
proxy_sigma_controller,anchor_k086_r002,proxy_sigma_controller:anchor_k086_r002,rastrigin,20,0.0,0.86,0.02,7.541144486729183,20,20,1.0,59.37495844415878,56.605830334943036,78.2,21.85,77.2,37.58326004821366,36.709260048213665,0.874,0.9751400355878482,0.024663052055558608,0.06722410569528815
proxy_sigma_controller,anchor_k086_r002,proxy_sigma_controller:anchor_k086_r002,rastrigin,20,0.1,0.86,0.02,7.541144486729183,20,20,1.0,53.71547711643401,49.713771078342724,78.75,20.45,77.75,39.29130921925204,38.47330921925204,0.818,0.9778001711653085,0.025625522918341664,0.06669489577764345
