method,variant_id,method_instance,k,r,descent_sharpness,n_runs,n_cells_observed,n_trace_available,trace_coverage,final_best_mean,final_best_median,first_floor_gen_trace_mean,floor_gens_trace_mean,descent_gens_trace_mean,sigma_volume_total_mean,sigma_volume_descent_mean,sigma_volume_floor_mean,descent_volume_fraction_mean,mean_log_contraction_descent_mean,std_log_contraction_descent_mean
proxy_sigma_controller,anchor_k086_r002,proxy_sigma_controller:anchor_k086_r002,0.86,0.02,7.541144486729183,720,36,720,1.0,27181.57862984328,56.33535326924694,86.8125,11.954166666666667,86.30694444444444,45.85365385956345,45.37548719289679,0.4781666666666667,0.9861807337872313,0.019357419100041882,0.059092244774831146
proxy_sigma_controller,anchor_k090_r005,proxy_sigma_controller:anchor_k090_r005,0.9,0.05,2.1072103131565254,720,36,720,1.0,25846.959143313874,70.70786324553245,72.14583333333333,23.13888888888889,71.375,49.264218820549914,46.950329931661024,2.3138888888888887,0.9432791424581113,0.020362758619853337,0.0451138847919275
proxy_sigma_controller,anchor_k090_r010,proxy_sigma_controller:anchor_k090_r010,0.9,0.1,1.0536051565782627,720,36,720,1.0,28737.610785934703,102.62638117715306,54.38333333333333,40.641666666666666,53.4375,52.87249737037186,44.74416403703853,8.128333333333332,0.826542533980529,0.024028249483237677,0.04553112940723953
proxy_sigma_controller,anchor_k093_r005,proxy_sigma_controller:anchor_k093_r005,0.93,0.05,1.4514138566967074,720,36,720,1.0,29183.663336093672,70.36767196837457,75.58888888888889,21.1625,74.87083333333334,52.178798578604784,50.06254857860478,2.11625,0.9505562938624336,0.016069733779446236,0.03377775622269479
proxy_sigma_controller,anchor_k093_r020,proxy_sigma_controller:anchor_k093_r020,0.93,0.2,0.36285346417417685,720,36,720,1.0,38751.67257426793,154.90706693381833,40.704166666666666,55.53472222222222,39.704166666666666,65.75665687750323,43.542767988614344,22.213888888888885,0.646262910404222,0.019049796948725817,0.03303548921522223
proxy_sigma_controller,anchor_k095_r005,proxy_sigma_controller:anchor_k095_r005,0.95,0.05,1.0258658877510114,720,36,720,1.0,30890.182115867057,67.2881789811081,80.17777777777778,18.181944444444444,79.5111111111111,55.220407366590855,53.402212922146425,1.8181944444444442,0.9591068064599354,0.011989570663116992,0.025907340488048082
proxy_sigma_controller,anchor_k095_r010,proxy_sigma_controller:anchor_k095_r010,0.95,0.1,0.5129329438755057,720,36,720,1.0,33222.2613664763,97.67359360463257,62.915277777777774,33.40694444444444,62.019444444444446,58.08693160123225,51.40554271234336,6.681388888888888,0.8694284032274023,0.014405539155693857,0.02520565770436099
proxy_sigma_controller,anchor_k097_r005,proxy_sigma_controller:anchor_k097_r005,0.97,0.05,0.6091841496941715,720,36,720,1.0,33631.66785785413,65.54137248893977,85.27083333333333,13.036111111111111,84.7388888888889,60.46189168673318,59.15828057562207,1.3036111111111113,0.9720296584566086,0.007728015235328299,0.0177963095600972
proxy_sigma_controller,anchor_k097_r010,proxy_sigma_controller:anchor_k097_r010,0.97,0.1,0.3045920748470857,720,36,720,1.0,34467.269299312524,102.53792132897806,70.04861111111111,26.48611111111111,69.21944444444445,62.665264469596345,57.36804224737412,5.2972222222222225,0.9017360543676858,0.009336084823617044,0.016844473269343723
proxy_sigma_controller,anchor_k098_r025,proxy_sigma_controller:anchor_k098_r025,0.98,0.25,0.08081082927007786,720,36,720,1.0,52452.08962205307,165.63809616253403,46.19583333333333,46.602777777777774,45.19583333333333,78.27092617113453,54.96953728224564,23.301388888888887,0.6896616845621453,0.006013825545555105,0.01272406047840737
