run_index,phase,method,variant_id,method_instance,reference_method,function,dimension,noise_sigma,seed,eval_budget,popsize,initial_sigma,status,error_message,n_evals,generations,final_best,duration_sec,proxy_schema_version,proxy_sigma_factor_last,proxy_ema_snr_last,proxy_time_to_first_floor_gen,proxy_fraction_at_floor,proxy_n_floor_entries,proxy_n_floor_exits,proxy_n_down_steps,proxy_n_up_steps,proxy_n_neutral_steps,proxy_sigma_min_seen,proxy_sigma_max_seen,proxy_trace_written,proxy_trace_relpath
1,eval,vanilla_cma,,vanilla_cma,vanilla_cma,sphere,10,0.0,1000,1000,10,2.0,ok,,1000,100,4.5271006638323166e-05,0.8193039894104004,,,,,,,,,,,,,,
2,eval,vanilla_cma,,vanilla_cma,vanilla_cma,sphere,10,0.0,1001,1000,10,2.0,ok,,1000,100,3.4448773630602864e-05,0.030408859252929688,,,,,,,,,,,,,,
3,eval,vanilla_cma,,vanilla_cma,vanilla_cma,sphere,10,0.0,1002,1000,10,2.0,ok,,1000,100,3.6621518333454724e-05,0.05496621131896973,,,,,,,,,,,,,,
4,eval,vanilla_cma,,vanilla_cma,vanilla_cma,sphere,10,0.0,1003,1000,10,2.0,ok,,1000,100,1.021741972026218e-05,0.031100034713745117,,,,,,,,,,,,,,
5,eval,vanilla_cma,,vanilla_cma,vanilla_cma,sphere,10,0.0,1004,1000,10,2.0,ok,,1000,100,8.853186794275138e-06,0.030414104461669922,,,,,,,,,,,,,,
6,eval,vanilla_cma,,vanilla_cma,vanilla_cma,sphere,10,0.0,1005,1000,10,2.0,ok,,1000,100,1.327652050101939e-05,0.02995014190673828,,,,,,,,,,,,,,
7,eval,vanilla_cma,,vanilla_cma,vanilla_cma,sphere,10,0.0,1006,1000,10,2.0,ok,,1000,100,5.798383312265393e-06,0.03226900100708008,,,,,,,,,,,,,,
8,eval,vanilla_cma,,vanilla_cma,vanilla_cma,sphere,10,0.0,1007,1000,10,2.0,ok,,1000,100,9.826956450974887e-06,0.030508041381835938,,,,,,,,,,,,,,
9,eval,vanilla_cma,,vanilla_cma,vanilla_cma,sphere,10,0.0,1008,1000,10,2.0,ok,,1000,100,1.3459429022556809e-05,0.030221939086914062,,,,,,,,,,,,,,
10,eval,vanilla_cma,,vanilla_cma,vanilla_cma,sphere,10,0.0,1009,1000,10,2.0,ok,,1000,100,5.45364443340885e-06,0.030071735382080078,,,,,,,,,,,,,,
