function,dimension,noise_sigma,method,variant_id,method_instance,reference_method_instance,n_pairs,reference_median,method_median,median_delta_vs_reference,win_rate_vs_reference,loss_rate_vs_reference,wilcoxon_p_two_sided,bh_fdr_q_value
ellipsoid_cond1e6,10,0.0,proxy_sigma_controller,,proxy_sigma_controller,vanilla_cma,100,1084.1895885976264,807.4684289158587,-244.6835194610461,0.59,0.41,0.009153955915995007,0.010630400418574847
ellipsoid_cond1e6,10,0.1,proxy_sigma_controller,,proxy_sigma_controller,vanilla_cma,100,1084.2061346049854,807.3649392762891,-262.3822195864399,0.6,0.4,0.007396265811819942,0.00887551897418393
ellipsoid_cond1e6,10,0.2,proxy_sigma_controller,,proxy_sigma_controller,vanilla_cma,100,1064.0294114365936,817.8217657214961,-208.25363390539135,0.57,0.43,0.0362653406125505,0.039562189759146
ellipsoid_cond1e6,20,0.0,proxy_sigma_controller,,proxy_sigma_controller,vanilla_cma,100,71476.35575055666,32508.404548181003,-36425.91676110974,0.91,0.09,3.2570704571844113e-15,9.771211371553234e-15
ellipsoid_cond1e6,20,0.1,proxy_sigma_controller,,proxy_sigma_controller,vanilla_cma,100,71476.4201302139,32508.42174459731,-36425.9938723334,0.91,0.09,3.2570704571844113e-15,9.771211371553234e-15
ellipsoid_cond1e6,20,0.2,proxy_sigma_controller,,proxy_sigma_controller,vanilla_cma,100,71476.47365912469,31785.9810867914,-36425.978759623744,0.91,0.09,3.2570704571844113e-15,9.771211371553234e-15
ellipsoid_cond1e6,40,0.0,proxy_sigma_controller,,proxy_sigma_controller,vanilla_cma,100,974680.8769914254,282343.664042046,-612948.1895898362,0.99,0.01,4.139373908714419e-18,2.4836243452286515e-17
ellipsoid_cond1e6,40,0.1,proxy_sigma_controller,,proxy_sigma_controller,vanilla_cma,100,974680.9281980224,282343.6106567667,-612948.2541603607,0.99,0.01,4.139373908714419e-18,2.4836243452286515e-17
ellipsoid_cond1e6,40,0.2,proxy_sigma_controller,,proxy_sigma_controller,vanilla_cma,100,974680.7632248334,282343.44674981956,-612948.220501074,0.99,0.01,4.139373908714419e-18,2.4836243452286515e-17
rastrigin,10,0.0,proxy_sigma_controller,,proxy_sigma_controller,vanilla_cma,100,32.88772565234917,22.58765919628877,-5.0014182274743995,0.61,0.39,0.0017547657728420143,0.0022561274222254466
rastrigin,10,0.1,proxy_sigma_controller,,proxy_sigma_controller,vanilla_cma,100,26.422350571376967,21.73941706572773,-2.8521287380879343,0.56,0.44,0.005524786781215274,0.006858356004267237
rastrigin,10,0.2,proxy_sigma_controller,,proxy_sigma_controller,vanilla_cma,100,22.954080038224376,22.439513841510692,-4.864485700543339,0.6,0.4,0.031638123676933194,0.03559288913654984
rastrigin,20,0.0,proxy_sigma_controller,,proxy_sigma_controller,vanilla_cma,100,147.32603598588292,104.046256924234,-40.987040225482815,0.89,0.11,1.3411272881638009e-14,3.2187054915931226e-14
rastrigin,20,0.1,proxy_sigma_controller,,proxy_sigma_controller,vanilla_cma,100,148.42660786112373,107.42494583133835,-41.77392213618882,0.86,0.14,1.3411272881638009e-14,3.2187054915931226e-14
rastrigin,20,0.2,proxy_sigma_controller,,proxy_sigma_controller,vanilla_cma,100,144.69959912680866,106.15223111492536,-35.089067783738415,0.89,0.11,1.5758341826816587e-14,3.545626911033732e-14
rastrigin,40,0.0,proxy_sigma_controller,,proxy_sigma_controller,vanilla_cma,100,396.62080226754233,354.58181268550777,-43.74378808131266,0.82,0.18,2.740945931041205e-10,5.48189186208241e-10
rastrigin,40,0.1,proxy_sigma_controller,,proxy_sigma_controller,vanilla_cma,100,393.0541326712783,358.77228663517025,-34.523445987683345,0.78,0.22,1.6448239151603548e-08,2.9606830472886388e-08
rastrigin,40,0.2,proxy_sigma_controller,,proxy_sigma_controller,vanilla_cma,100,388.77728053329196,350.108435694836,-33.520378545492775,0.79,0.21,2.1734845913738727e-08,3.725973585212353e-08
rosenbrock,10,0.0,proxy_sigma_controller,,proxy_sigma_controller,vanilla_cma,100,7.963584578782786,10.359582354186745,2.0253951774066543,0.24,0.76,2.1072982815714674e-05,2.9177976206374165e-05
rosenbrock,10,0.1,proxy_sigma_controller,,proxy_sigma_controller,vanilla_cma,100,8.089165731622217,10.29311539309659,2.189950200810035,0.18,0.82,4.5772307765525186e-06,7.49001399799503e-06
rosenbrock,10,0.2,proxy_sigma_controller,,proxy_sigma_controller,vanilla_cma,100,8.154961295397749,10.37615250606954,1.9212136572672955,0.22,0.78,5.946748935431753e-06,9.307954855458396e-06
rosenbrock,20,0.0,proxy_sigma_controller,,proxy_sigma_controller,vanilla_cma,100,32.17534839079061,70.3883584904681,28.60444691120863,0.24,0.76,1.1844759453900245e-05,1.7056453613616352e-05
rosenbrock,20,0.1,proxy_sigma_controller,,proxy_sigma_controller,vanilla_cma,100,32.10925140266475,67.96161445028369,29.335547752619483,0.24,0.76,1.1659248282687314e-05,1.7056453613616352e-05
rosenbrock,20,0.2,proxy_sigma_controller,,proxy_sigma_controller,vanilla_cma,100,34.3748042791118,63.52763201431805,27.555251357061586,0.28,0.72,0.0001262135465298681,0.00016828472870649078
rosenbrock,40,0.0,proxy_sigma_controller,,proxy_sigma_controller,vanilla_cma,100,588.945718635892,528.4452613458243,-62.47905884580223,0.58,0.42,0.046503969925620746,0.04923949756830431
rosenbrock,40,0.1,proxy_sigma_controller,,proxy_sigma_controller,vanilla_cma,100,579.8806739389929,532.7406011103494,-64.546049939753,0.58,0.42,0.08069476711764394,0.08069476711764394
rosenbrock,40,0.2,proxy_sigma_controller,,proxy_sigma_controller,vanilla_cma,100,588.9646724430427,525.4990720962551,-58.05047101305337,0.59,0.41,0.052475138087962746,0.05397442774761882
sphere,10,0.0,proxy_sigma_controller,,proxy_sigma_controller,vanilla_cma,100,1.0582496805720369e-05,0.01830198436954235,0.018294284742951097,0.0,1.0,3.89655984509591e-18,2.4836243452286515e-17
sphere,10,0.1,proxy_sigma_controller,,proxy_sigma_controller,vanilla_cma,100,-0.2209272275012315,-0.1622882092530668,0.05954434476625135,0.07,0.93,3.63574062749329e-15,1.0068204814596803e-14
sphere,10,0.2,proxy_sigma_controller,,proxy_sigma_controller,vanilla_cma,100,-0.4485317513502964,-0.39055314292699256,0.06469788052261227,0.22,0.78,1.01472437539144e-08,1.9226356586364127e-08
sphere,20,0.0,proxy_sigma_controller,,proxy_sigma_controller,vanilla_cma,100,0.012083707862821851,0.294307083083723,0.2810050753739777,0.0,1.0,3.89655984509591e-18,2.4836243452286515e-17
sphere,20,0.1,proxy_sigma_controller,,proxy_sigma_controller,vanilla_cma,100,-0.08945715047666006,0.21428801267413844,0.30205749374178875,0.0,1.0,3.89655984509591e-18,2.4836243452286515e-17
sphere,20,0.2,proxy_sigma_controller,,proxy_sigma_controller,vanilla_cma,100,-0.22903831390457105,0.09483757223932615,0.3251451144828367,0.03,0.97,6.9066722754060085e-18,3.552002884494519e-17
sphere,40,0.0,proxy_sigma_controller,,proxy_sigma_controller,vanilla_cma,100,1.6171826672837812,2.749465924587623,1.1681417571731654,0.15,0.85,2.6062728649352846e-13,5.519166066921779e-13
sphere,40,0.1,proxy_sigma_controller,,proxy_sigma_controller,vanilla_cma,100,1.581353778702792,2.8167828763037717,1.2084060197461826,0.1,0.9,5.62131586332343e-16,2.248526345329372e-15
sphere,40,0.2,proxy_sigma_controller,,proxy_sigma_controller,vanilla_cma,100,1.5827029181849086,2.728825924255048,1.1904885469578343,0.11,0.89,2.1986655925914448e-16,9.893995166661501e-16
